cpu,memory,user_requests,order_requests,payment_requests
0.2440843447013359,44904448.0,0.0,0.0,0.0
0.24747440504440996,44904448.0,0.0,0.0,0.0
0.25086446538748336,44904448.0,0.0,0.0,0.0
0.24748363387338962,44904448.0,0.0,0.0,0.0
0.24747608296211931,44904448.0,0.0,0.0,0.0
0.24069510032917626,44904448.0,0.0,0.0,0.0
0.2440843447013365,44904448.0,0.0,0.0,0.0
0.24069428435826187,44904448.0,0.0,0.0,0.0
0.24746685469627575,44904448.0,0.0,0.0,0.0
0.2508644653874846,44904448.0,0.0,0.0,0.0
0.25086446538748336,44904448.0,0.0,0.0,0.0
0.2508678672163166,44904448.0,0.0,0.0,0.0
0.24069591630562306,44904448.0,0.0,0.0,0.0
0.24069510032917626,44904448.0,0.16683899590251927,0.0,0.0
0.30171639337037576,44904448.0,0.16684125536620126,0.16917418980108184,0.0
0.2949352498474464,44904448.0,0.16684294980450654,0.1691758763305987,0.16775713607702217
0.2983253101905223,44904448.0,0.1668452092394651,0.16917870138088462,0.1677593961172509
0.3084965370416188,44904448.0,0.16684746988496396,0.1691809699447531,0.16776165986957262
0.31189401027894237,44904448.0,0.0,0.1691872448910405,0.16776789740077905
0.261035531342909,44904448.0,0.0,0.003390071835622197,0.16776674497732605
0.2644273960342675,44904448.0,0.0,0.0033900948209521424,0.0
0.26781749085521894,44904448.0,0.0,0.0033900948209521424,0.0
0.26781658293160815,44904448.0,0.0,0.003390083328248208,0.0
0.26441932837490634,44904448.0,0.0,0.003389991389421871,0.0
0.2508653158360409,44904448.0,0.0,0.0,0.0
0.2542536637952953,44904448.0,0.0,0.0,0.0
0.25086361494469084,44904448.0,0.0,0.0,0.0
0.2474752440004205,44904448.0,0.0,0.0,0.0
0.2508653158360432,44904448.0,0.0,0.0,0.0
0.24747440504440874,44904448.0,0.0,0.0,0.0
0.24747440504440996,44904448.0,0.0,0.0,0.0
0.24408517216479775,44904448.0,0.0,0.0,0.0
0.24069428435826187,44904448.0,0.0,0.0,0.0
0.23391495665793083,44904448.0,0.0,0.0,0.0
0.23730422401518841,44904448.0,0.0,0.0,0.0
0.23730341954227535,44904448.0,0.0,0.0,0.0
0.23730422401518841,44904448.0,0.0,0.0,0.0
0.2712048274459288,44904448.0,0.10013729837479404,0.10170181029222321,0.10170181029222321
0.28476506881822494,44904448.0,0.1001379754559631,0.10170181029222321,0.10170215506866588
0.3017174162140907,44904448.0,0.10013933148010035,0.10170249984744624,0.10170181029222321
0.30510543087666914,44904448.0,0.10014068798117833,0.10170181029222321,0.10170146551811812
0.3118844942555616,44904448.0,0.1001420430468403,0.10170146551811812,0.10170146551811812
0.2847631380897817,44904448.0,0.0,0.0,0.0
0.2712057468497748,44904448.0,0.0,0.0,0.0
0.2542553876716647,44904448.0,0.0,0.0,0.0
0.24747608296211931,44904448.0,0.0,0.0,0.0
0.25086531583604205,44904448.0,0.0,0.0,0.0
0.25425452573055796,44904448.0,0.0,0.0,0.0
0.254251939942303,44904448.0,0.0,0.0,0.0
0.25425280186587657,44904448.0,0.0,0.0,0.0
0.25425107802457086,44904448.0,0.0,0.0,0.0
0.2474702103496789,44904448.0,0.0,0.0,0.0
0.24747104927724783,44904448.0,0.0,0.0,0.0
0.2440810349035876,44904448.0,0.0,0.0,0.0
0.23730181061281602,44904448.0,0.0,0.0,0.0
0.23730100615626581,44904448.0,0.0,0.0,0.0
0.23052097740894414,44904448.0,0.0,0.0,0.0
0.23052175888102017,44904448.0,0.0,0.0,0.0
0.23730181061281594,44904448.0,0.0,0.0,0.0
0.26103110677189373,44904448.0,0.20032679738562092,0.10170043120982832,0.10170008644507346
0.2644211211455541,44904448.0,0.20032883250899208,0.10170043120982834,0.10170043120982832
